Extraction Date:,5/30/2018,,,,,,,,,,,,,,,,,,,,,,
Updated:,,,,,,,,,,,,,,,,,,,,,,,
Revised:,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
School Year,State,Exit Code,Disability,Age 14,Age 15,Age 16,Age 17,Age 18,Age 19,Age 20,Age 21,Age 14 to 21 total,Hispanic/Latino,American Indian or Alaska Native,Asian,Black or African American,Native Hawaiian or Other Pacific Islander,White,Two or more races,Male,Female,Limited English proficiency,Non-limited English proficiency
2016-2017,Alabama,Graduated with a regular high school diploma and received a certificate,Other health impairment,0,0,4,255,225,44,14,1,543,-,-,-,-,-,-,-,-,-,-,-
2016-2017,Alabama,Graduated with regular high school diploma,Other health impairment,-,-,4,228,190,36,1,0,459,-,-,-,-,-,-,-,-,-,-,-
2016-2017,Alabama,"Moved, known to be continuing",Other health impairment,107,99,105,91,32,3,4,0,441,-,-,-,-,-,-,-,-,-,-,-
2016-2017,Alabama,Reached maximum age,Other health impairment,-,-,-,-,-,-,2,1,3,-,-,-,-,-,-,-,-,-,-,-
2016-2017,Alabama,Received a certificate,Other health impairment,0,0,0,27,35,8,13,1,84,-,-,-,-,-,-,-,-,-,-,-
2016-2017,Alabama,Total exiting school,Other health impairment,0,4,12,282,241,47,17,2,605,-,-,-,-,-,-,-,-,-,-,-
2016-2017,Alabama,Total exiting special education,Other health impairment,132,124,150,390,276,52,21,3,1148,-,-,-,-,-,-,-,-,-,-,-
2016-2017,Alabama,Transferred to regular education,Other health impairment,25,21,33,17,3,2,0,1,102,-,-,-,-,-,-,-,-,-,-,-
2016-2017,Alabama,Died,Specific learning disability,1,0,2,0,1,0,0,0,4,-,-,-,-,-,-,-,-,-,-,-
2016-2017,Alabama,Dropped out,Specific learning disability,-,-,18,73,55,20,0,0,166,-,-,-,-,-,-,-,-,-,-,-
2016-2017,Alabama,Graduated with a regular high school diploma and received a certificate,Specific learning disability,0,0,4,897,1364,245,24,1,2535,-,-,-,-,-,-,-,-,-,-,-
2016-2017,Alabama,Graduated with regular high school diploma,Specific learning disability,-,-,4,813,1239,214,19,1,2290,-,-,-,-,-,-,-,-,-,-,-
2016-2017,Alabama,"Moved, known to be continuing",Specific learning disability,239,245,259,264,113,33,30,12,1195,-,-,-,-,-,-,-,-,-,-,-
2016-2017,Alabama,Reached maximum age,Specific learning disability,-,-,-,-,-,-,0,39,39,-,-,-,-,-,-,-,-,-,-,-
2016-2017,Alabama,Received a certificate,Specific learning disability,0,0,0,84,125,31,5,0,245,-,-,-,-,-,-,-,-,-,-,-
2016-2017,Alabama,Total exiting school,Specific learning disability,1,0,24,970,1420,265,24,40,2744,-,-,-,-,-,-,-,-,-,-,-
2016-2017,Alabama,Total exiting special education,Specific learning disability,295,297,342,1274,1554,300,56,53,4171,-,-,-,-,-,-,-,-,-,-,-
2016-2017,Alabama,Transferred to regular education,Specific learning disability,55,52,59,40,21,2,2,1,232,-,-,-,-,-,-,-,-,-,-,-
2016-2017,Alabama,Died,Speech or language impairment,0,0,0,0,0,0,0,0,0,-,-,-,-,-,-,-,-,-,-,-
2016-2017,Alabama,Dropped out,Speech or language impairment,-,-,1,1,0,0,0,0,2,-,-,-,-,-,-,-,-,-,-,-
2016-2017,Alabama,Graduated with a regular high school diploma and received a certificate,Speech or language impairment,0,0,0,26,22,9,0,0,57,-,-,-,-,-,-,-,-,-,-,-
2016-2017,Alabama,Graduated with regular high school diploma,Speech or language impairment,-,-,0,23,18,9,0,0,50,-,-,-,-,-,-,-,-,-,-,-
2016-2017,Alabama,"Moved, known to be continuing",Speech or language impairment,18,10,7,10,2,2,0,0,49,-,-,-,-,-,-,-,-,-,-,-
2016-2017,Alabama,Reached maximum age,Speech or language impairment,-,-,-,-,-,-,0,1,1,-,-,-,-,-,-,-,-,-,-,-
2016-2017,Alabama,Received a certificate,Speech or language impairment,0,0,0,3,4,0,0,0,7,-,-,-,-,-,-,-,-,-,-,-
2016-2017,Alabama,Total exiting school,Speech or language impairment,0,0,1,27,22,9,0,1,60,-,-,-,-,-,-,-,-,-,-,-
2016-2017,Alabama,Total exiting special education,Speech or language impairment,61,25,18,44,24,13,0,1,186,-,-,-,-,-,-,-,-,-,-,-
2016-2017,Alabama,Transferred to regular education,Speech or language impairment,43,15,10,7,0,2,0,0,77,-,-,-,-,-,-,-,-,-,-,-
2016-2017,Alabama,Died,Traumatic brain injury,0,0,0,0,0,0,0,0,0,-,-,-,-,-,-,-,-,-,-,-
2016-2017,Alabama,Dropped out,Traumatic brain injury,-,-,0,1,0,0,0,0,1,-,-,-,-,-,-,-,-,-,-,-
2016-2017,Alabama,Graduated with a regular high school diploma and received a certificate,Traumatic brain injury,0,0,0,8,12,2,0,0,22,-,-,-,-,-,-,-,-,-,-,-
2016-2017,Alabama,Graduated with regular high school diploma,Traumatic brain injury,-,-,0,8,9,1,0,0,18,-,-,-,-,-,-,-,-,-,-,-
2016-2017,Alabama,"Moved, known to be continuing",Traumatic brain injury,0,3,0,3,0,0,1,0,7,-,-,-,-,-,-,-,-,-,-,-
2016-2017,Alabama,Reached maximum age,Traumatic brain injury,-,-,-,-,-,-,0,0,0,-,-,-,-,-,-,-,-,-,-,-
2016-2017,Alabama,Received a certificate,Traumatic brain injury,0,0,0,0,3,1,0,0,4,-,-,-,-,-,-,-,-,-,-,-
2016-2017,Alabama,Total exiting school,Traumatic brain injury,0,0,0,9,12,2,0,0,23,-,-,-,-,-,-,-,-,-,-,-
2016-2017,Alabama,Total exiting special education,Traumatic brain injury,0,4,1,12,12,2,1,0,32,-,-,-,-,-,-,-,-,-,-,-
2016-2017,Alabama,Transferred to regular education,Traumatic brain injury,0,1,1,0,0,0,0,0,2,-,-,-,-,-,-,-,-,-,-,-
2016-2017,Alabama,Died,Visual impairment,0,0,0,0,0,0,0,0,0,-,-,-,-,-,-,-,-,-,-,-
2016-2017,Alabama,Dropped out,Visual impairment,-,-,0,0,0,0,0,0,0,-,-,-,-,-,-,-,-,-,-,-
2016-2017,Alabama,Graduated with a regular high school diploma and received a certificate,Visual impairment,0,0,1,10,14,3,1,0,29,-,-,-,-,-,-,-,-,-,-,-
2016-2017,Alabama,Graduated with regular high school diploma,Visual impairment,-,-,1,8,11,2,1,0,23,-,-,-,-,-,-,-,-,-,-,-
2016-2017,Alabama,"Moved, known to be continuing",Visual impairment,1,4,2,0,1,0,0,0,8,-,-,-,-,-,-,-,-,-,-,-
2016-2017,Alabama,Reached maximum age,Visual impairment,-,-,-,-,-,-,0,0,0,-,-,-,-,-,-,-,-,-,-,-
2016-2017,Alabama,Received a certificate,Visual impairment,0,0,0,2,3,1,0,0,6,-,-,-,-,-,-,-,-,-,-,-
2016-2017,Alabama,Total exiting school,Visual impairment,0,0,1,10,14,3,1,0,29,-,-,-,-,-,-,-,-,-,-,-
2016-2017,Alabama,Total exiting special education,Visual impairment,1,5,4,10,15,3,1,0,39,-,-,-,-,-,-,-,-,-,-,-
2016-2017,Alabama,Transferred to regular education,Visual impairment,0,1,1,0,0,0,0,0,2,-,-,-,-,-,-,-,-,-,-,-
2016-2017,Alaska,Died,All Disabilities,1,2,1,1,1,0,0,0,6,0,3,1,0,0,2,0,5,1,0,6
2016-2017,Alaska,Dropped out,All Disabilities,22,46,65,63,42,28,14,6,286,25,121,6,15,12,70,37,193,93,65,221
2016-2017,Alaska,Graduated with a regular high school diploma and received a certificate,All Disabilities,0,0,6,427,269,70,21,27,820,68,260,28,42,22,329,71,517,303,123,697
2016-2017,Alaska,Graduated with regular high school diploma,All Disabilities,0,0,4,408,248,61,16,15,752,61,244,24,36,20,304,63,478,274,112,640
2016-2017,Alaska,"Moved, known to be continuing",All Disabilities,76,72,80,53,23,9,2,1,316,20,91,5,28,9,134,29,196,120,48,268
2016-2017,Alaska,Reached maximum age,All Disabilities,-,-,-,-,-,-,0,7,7,1,2,1,0,0,3,0,1,6,1,6
2016-2017,Alaska,Received a certificate,All Disabilities,0,0,2,19,21,9,5,12,68,7,16,4,6,2,25,8,39,29,11,57
2016-2017,Alaska,Total exiting school,All Disabilities,23,48,72,491,312,98,35,40,1119,94,386,36,57,34,404,108,716,403,189,930
2016-2017,Alaska,Total exiting special education,All Disabilities,146,167,187,599,368,111,38,43,1659,128,544,49,93,45,647,153,1062,597,265,1394
2016-2017,Alaska,Transferred to regular education,All Disabilities,47,47,35,55,33,4,1,2,224,14,67,8,8,2,109,16,150,74,28,196
2016-2017,Alaska,Died,Autism,0,0,0,0,0,0,0,0,0,-,-,-,-,-,-,-,-,-,-,-
2016-2017,Alaska,Dropped out,Autism,1,0,2,0,2,0,0,0,5,-,-,-,-,-,-,-,-,-,-,-
2016-2017,Alaska,Graduated with a regular high school diploma and received a certificate,Autism,0,0,1,26,22,10,1,7,67,-,-,-,-,-,-,-,-,-,-,-
2016-2017,Alaska,Graduated with regular high school diploma,Autism,0,0,1,24,18,6,1,3,53,-,-,-,-,-,-,-,-,-,-,-
2016-2017,Alaska,"Moved, known to be continuing",Autism,2,2,4,1,1,0,1,1,12,-,-,-,-,-,-,-,-,-,-,-
2016-2017,Alaska,Reached maximum age,Autism,-,-,-,-,-,-,0,1,1,-,-,-,-,-,-,-,-,-,-,-
2016-2017,Alaska,Received a certificate,Autism,0,0,0,2,4,4,0,4,14,-,-,-,-,-,-,-,-,-,-,-
2016-2017,Alaska,Total exiting school,Autism,1,0,3,26,24,10,1,8,73,-,-,-,-,-,-,-,-,-,-,-
2016-2017,Alaska,Total exiting special education,Autism,6,5,7,29,26,10,2,10,95,-,-,-,-,-,-,-,-,-,-,-
2016-2017,Alaska,Transferred to regular education,Autism,3,3,0,2,1,0,0,1,10,-,-,-,-,-,-,-,-,-,-,-
2016-2017,Alaska,Died,Deaf-blindness,0,0,0,0,0,0,0,0,0,-,-,-,-,-,-,-,-,-,-,-
2016-2017,Alaska,Dropped out,Deaf-blindness,0,0,0,0,0,0,0,0,0,-,-,-,-,-,-,-,-,-,-,-
2016-2017,Alaska,Graduated with a regular high school diploma and received a certificate,Deaf-blindness,0,0,0,0,0,0,0,0,0,-,-,-,-,-,-,-,-,-,-,-
2016-2017,Alaska,Graduated with regular high school diploma,Deaf-blindness,0,0,0,0,0,0,0,0,0,-,-,-,-,-,-,-,-,-,-,-
2016-2017,Alaska,"Moved, known to be continuing",Deaf-blindness,0,0,0,0,0,0,0,0,0,-,-,-,-,-,-,-,-,-,-,-
2016-2017,Alaska,Reached maximum age,Deaf-blindness,-,-,-,-,-,-,0,0,0,-,-,-,-,-,-,-,-,-,-,-
2016-2017,Alaska,Received a certificate,Deaf-blindness,0,0,0,0,0,0,0,0,0,-,-,-,-,-,-,-,-,-,-,-
2016-2017,Alaska,Total exiting school,Deaf-blindness,0,0,0,0,0,0,0,0,0,-,-,-,-,-,-,-,-,-,-,-
2016-2017,Alaska,Total exiting special education,Deaf-blindness,0,0,0,0,0,0,0,0,0,-,-,-,-,-,-,-,-,-,-,-
2016-2017,Alaska,Transferred to regular education,Deaf-blindness,0,0,0,0,0,0,0,0,0,-,-,-,-,-,-,-,-,-,-,-
2016-2017,Alaska,Died,Emotional disturbance,0,0,0,0,1,0,0,0,1,-,-,-,-,-,-,-,-,-,-,-
2016-2017,Alaska,Dropped out,Emotional disturbance,4,3,2,7,6,1,1,4,28,-,-,-,-,-,-,-,-,-,-,-
2016-2017,Alaska,Graduated with a regular high school diploma and received a certificate,Emotional disturbance,0,0,1,13,13,3,1,0,31,-,-,-,-,-,-,-,-,-,-,-
2016-2017,Alaska,Graduated with regular high school diploma,Emotional disturbance,x,x,x,x,x,x,x,x,x,-,-,-,-,-,-,-,-,-,-,-
2016-2017,Alaska,"Moved, known to be continuing",Emotional disturbance,5,6,6,4,5,0,0,0,26,-,-,-,-,-,-,-,-,-,-,-
2016-2017,Alaska,Reached maximum age,Emotional disturbance,-,-,-,-,-,-,0,0,0,-,-,-,-,-,-,-,-,-,-,-
2016-2017,Alaska,Received a certificate,Emotional disturbance,x,x,x,x,x,x,x,x,x,-,-,-,-,-,-,-,-,-,-,-
2016-2017,Alaska,Total exiting school,Emotional disturbance,4,3,3,20,20,4,2,4,60,-,-,-,-,-,-,-,-,-,-,-
2016-2017,Alaska,Total exiting special education,Emotional disturbance,10,10,10,26,30,4,2,4,96,-,-,-,-,-,-,-,-,-,-,-
2016-2017,Alaska,Transferred to regular education,Emotional disturbance,1,1,1,2,5,0,0,0,10,-,-,-,-,-,-,-,-,-,-,-
2016-2017,Alaska,Died,Hearing impairment,0,0,0,0,0,0,0,0,0,-,-,-,-,-,-,-,-,-,-,-
2016-2017,Alaska,Dropped out,Hearing impairment,0,0,1,2,0,1,0,0,4,-,-,-,-,-,-,-,-,-,-,-
2016-2017,Alaska,Graduated with a regular high school diploma and received a certificate,Hearing impairment,0,0,0,2,4,1,0,0,7,-,-,-,-,-,-,-,-,-,-,-
2016-2017,Alaska,Graduated with regular high school diploma,Hearing impairment,x,x,x,x,x,x,x,x,x,-,-,-,-,-,-,-,-,-,-,-
2016-2017,Alaska,"Moved, known to be continuing",Hearing impairment,0,0,0,0,0,0,0,0,0,-,-,-,-,-,-,-,-,-,-,-
2016-2017,Alaska,Reached maximum age,Hearing impairment,-,-,-,-,-,-,0,1,1,-,-,-,-,-,-,-,-,-,-,-
2016-2017,Alaska,Received a certificate,Hearing impairment,x,x,x,x,x,x,x,x,x,-,-,-,-,-,-,-,-,-,-,-
2016-2017,Alaska,Total exiting school,Hearing impairment,0,0,1,4,4,2,0,1,12,-,-,-,-,-,-,-,-,-,-,-
2016-2017,Alaska,Total exiting special education,Hearing impairment,1,0,1,4,4,3,0,1,14,-,-,-,-,-,-,-,-,-,-,-
2016-2017,Alaska,Transferred to regular education,Hearing impairment,1,0,0,0,0,1,0,0,2,-,-,-,-,-,-,-,-,-,-,-
2016-2017,Alaska,Died,Intellectual disability,0,0,1,0,0,0,0,0,1,-,-,-,-,-,-,-,-,-,-,-
2016-2017,Alaska,Dropped out,Intellectual disability,2,0,1,0,4,3,0,0,10,-,-,-,-,-,-,-,-,-,-,-
2016-2017,Alaska,Graduated with a regular high school diploma and received a certificate,Intellectual disability,0,0,0,14,18,4,2,3,41,-,-,-,-,-,-,-,-,-,-,-
2016-2017,Alaska,Graduated with regular high school diploma,Intellectual disability,0,0,0,6,6,2,0,1,15,-,-,-,-,-,-,-,-,-,-,-
2016-2017,Alaska,"Moved, known to be continuing",Intellectual disability,4,2,3,1,2,1,0,0,13,-,-,-,-,-,-,-,-,-,-,-
2016-2017,Alaska,Reached maximum age,Intellectual disability,-,-,-,-,-,-,0,1,1,-,-,-,-,-,-,-,-,-,-,-
2016-2017,Alaska,Received a certificate,Intellectual disability,0,0,0,8,12,2,2,2,26,-,-,-,-,-,-,-,-,-,-,-
2016-2017,Alaska,Total exiting school,Intellectual disability,2,0,2,14,22,7,2,4,53,-,-,-,-,-,-,-,-,-,-,-
2016-2017,Alaska,Total exiting special education,Intellectual disability,6,2,5,16,24,8,2,4,67,-,-,-,-,-,-,-,-,-,-,-
2016-2017,Alaska,Transferred to regular education,Intellectual disability,0,0,0,1,0,0,0,0,1,-,-,-,-,-,-,-,-,-,-,-
2016-2017,Alaska,Died,Multiple disabilities,1,0,0,1,0,0,0,0,2,-,-,-,-,-,-,-,-,-,-,-
2016-2017,Alaska,Dropped out,Multiple disabilities,2,3,1,1,0,2,0,0,9,-,-,-,-,-,-,-,-,-,-,-
2016-2017,Alaska,Graduated with a regular high school diploma and received a certificate,Multiple disabilities,0,0,0,12,5,6,3,3,29,-,-,-,-,-,-,-,-,-,-,-
2016-2017,Alaska,Graduated with regular high school diploma,Multiple disabilities,0,0,0,6,2,3,2,0,13,-,-,-,-,-,-,-,-,-,-,-
2016-2017,Alaska,"Moved, known to be continuing",Multiple disabilities,4,4,3,2,0,3,0,0,16,-,-,-,-,-,-,-,-,-,-,-
2016-2017,Alaska,Reached maximum age,Multiple disabilities,-,-,-,-,-,-,0,1,1,-,-,-,-,-,-,-,-,-,-,-
